System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
EPIC_212036875,BD,134.69029,20.86908,10.95,9.77,0.08911,0.3,2458140.03846,0.00016,5.169884,0.000027,6238,59,60,+0.007,0.096,0.096,1.288,0.065,0.064,1.498,0.025,0.026,4.193,0.025,0.024,0.382,0.021,0.019,0.1323,0.0041,0.0042,0.0645,0.0011,0.0011,52.3,1.9,1.9,0.874,0.017,0.017,1694,68,65,73.2,3.9,3.8,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201170410,TEP,170.14087,-4.80700,16.44,12.86,0.077,0.14,2456813.1485,0.0006,6.7987,0.0001,3648,172,143,-0.05,0.15,0.21,0.287,0.101,0.084,0.282,0.074,0.069,4.999,0.075,0.075,-1,-1,-1,0.0,-1,-1,0.0349,0.0027,0.0022,-1,-1,-1,0.094,0.025,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201702477,BD,175.24071,3.68153,14.57,12.77,0.168,0.6,2456811.5462,0.0011,40.73691,0.00037,5542,62,62,+0.01,0.03,0.03,0.95,0.05,0.05,1.01,0.03,0.03,4.466,0.058,0.058,1.18,0.24,0.24,0.228,0.003,0.003,0.757,0.065,0.065,70.9,2.6,2.6,0.83,0.04,0.04,-1,-1,-1,144,38,38,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201757695,TEP,173.93850,4.61644,15.02,12.15,0.076,0.02,2456811.6370,0.0008,2.0478,0.0001,4520,108,54,+0.00,0.12,0.30,0.727,0.044,0.053,0.655,0.041,0.045,4.659,0.035,0.025,-1,-1,-1,0.0,-1,-1,0.0296,0.0005,0.0005,-1,-1,-1,0.0810,0.0053,0.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_219388192,BD,289.39183,-16.87161,12.54,10.73,0.13928,1.0,2457346.329908,0.000080,5.292600,0.000018,5755,49,49,+0.203,0.086,0.091,1.101,0.039,0.045,1.029,0.016,0.016,4.455,0.018,0.020,1.009,0.054,0.054,0.1891,0.0021,0.0022,0.06206,0.00071,0.00084,39.2,1.1,1.1,0.941,0.019,0.019,1096,52,49,44.0,2.9,2.7,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246078343b,TEP,353.41758,-7.61194,15.16,11.86,0.08,0.02,2457738.6914,0.0019,0.8094,0.00003,4116,138,138,-0.20,0.24,0.24,0.81,0.36,0.26,0.700,0.055,0.048,4.65,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0258,0.0023,0.0025,-1,-1,-1,0.0678,0.0068,0.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246078343c,TEP,353.41758,-7.61194,15.16,11.86,0.14,0.04,2457739.6914,0.0024,5.3301,0.0003,4116,138,138,-0.20,0.24,0.24,0.81,0.36,0.26,0.700,0.055,0.048,4.65,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0426,0.0016,0.0019,-1,-1,-1,0.1100,0.0050,0.0053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246220667b,TEP,351.63625,-4.60658,14.38,11.44,0.17,0.1,2457740.2578,0.0011,6.6690,0.0002,4323,138,138,-0.10,0.24,0.24,0.81,0.36,0.26,0.732,0.055,0.052,4.61,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0552,0.0017,0.0023,-1,-1,-1,0.1721,0.0056,0.0065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246220667c,TEP,351.63625,-4.60658,14.38,11.44,0.15,0.04,2457742.0977,0.0013,4.3696,0.0001,4323,138,138,-0.10,0.24,0.24,0.81,0.36,0.26,0.732,0.055,0.052,4.61,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0487,0.0027,0.0031,-1,-1,-1,0.1088,0.0090,0.0065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_247422570,TEP,76.26217,21.58017,15.67,12.54,0.16,0.05,2457823.1445,0.0035,5.9382,0.0005,5590,138,138,+0.01,0.24,0.24,0.89,0.41,0.28,0.977,0.066,0.063,4.41,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0586,0.0032,0.0033,-1,-1,-1,0.1888,0.0094,0.0094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_249631677,TEP,228.02163,-20.10850,17.67,11.84,0.0342,0.2,2457990.8620,0.0011,3.1443189,0.0000049,3300,30,30,-0.24,0.09,0.09,0.174,0.004,0.004,0.196,0.006,0.006,5.094,0.006,0.006,23.1,0.7,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0848,0.0052,0.0052,-1,-1,-1,-1,-1,-1,460,5,5,-999,-999,-999,-999,-999,-999
