System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
Kepler-283c,KTEP,293.61371,47.83900,16.30,13.13,0.2616,0.11,2455006.31145,0.00730,92.743711,0.001413,4351,100,100,-0.20,0.10,0.10,0.613,-1,-1,0.566,0.024,0.024,4.721,0.150,0.150,4.770,0.403,0.403,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.162,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-284b,KTEP,293.14650,47.72964,16.01,14.07,0.1175,0.08,2455017.98515,0.00361,12.699149,0.000071,5615,200,200,-0.14,0.50,0.50,0.918,-1,-1,0.814,0.356,0.356,4.580,0.300,0.300,2.402,0.844,0.844,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.200,0.087,0.087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-284c,KTEP,293.14650,47.72964,16.01,14.07,0.2230,0.09,2455022.30068,0.00575,37.514456,0.000350,5615,200,200,-0.14,0.50,0.50,0.918,-1,-1,0.814,0.356,0.356,4.580,0.300,0.300,2.402,0.844,0.844,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.233,0.105,0.105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-285b,KTEP,291.39092,48.06561,15.37,13.31,0.0859,0.03,2454967.56281,0.00251,2.633867,0.000012,5411,200,200,-0.06,0.50,0.50,0.912,-1,-1,0.808,0.348,0.348,4.584,0.300,0.300,2.439,0.862,0.862,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.052,0.052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-285c,KTEP,291.39092,48.06561,15.37,13.31,0.1212,0.02,2454969.63351,0.00507,6.186676,0.000059,5411,200,200,-0.06,0.50,0.50,0.912,-1,-1,0.808,0.348,0.348,4.584,0.300,0.300,2.439,0.862,0.862,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100,0.044,0.044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-286b,KTEP,290.67617,48.29428,15.75,14.12,0.0822,0.02,2454966.33057,0.00307,1.796302,0.000009,5580,131,131,-0.35,0.10,0.10,0.843,-1,-1,0.863,0.167,0.167,4.495,0.150,0.150,1.851,0.623,0.623,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-286c,KTEP,290.67617,48.29428,15.75,14.12,0.0960,0.03,2454969.00318,0.00392,3.468095,0.000023,5580,131,131,-0.35,0.10,0.10,0.843,-1,-1,0.863,0.167,0.167,4.495,0.150,0.150,1.851,0.623,0.623,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.122,0.024,0.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-286d,KTEP,290.67617,48.29428,15.75,14.12,0.1106,0.02,2454966.48698,0.00524,5.914323,0.000054,5580,131,131,-0.35,0.10,0.10,0.843,-1,-1,0.863,0.167,0.167,4.495,0.150,0.150,1.851,0.623,0.623,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.119,0.024,0.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-286e,KTEP,290.67617,48.29428,15.75,14.12,0.1638,0.04,2454972.33017,0.00718,29.221289,0.000370,5580,131,131,-0.35,0.10,0.10,0.843,-1,-1,0.863,0.167,0.167,4.495,0.150,0.150,1.851,0.623,0.623,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.158,0.038,0.038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-287b,KTEP,290.92746,48.44356,14.94,13.13,0.0940,0.05,2454970.69875,0.00254,20.342199,0.000084,5806,200,200,-0.08,0.50,0.50,0.976,-1,-1,1.032,0.466,0.466,4.402,0.300,0.300,1.253,0.511,0.511,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.208,0.095,0.095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-287c,KTEP,290.92746,48.44356,14.94,13.13,0.1493,0.08,2455005.46300,0.00325,44.851896,0.000247,5806,200,200,-0.08,0.50,0.50,0.976,-1,-1,1.032,0.466,0.466,4.402,0.300,0.300,1.253,0.511,0.511,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.291,0.133,0.133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-288b,KTEP,288.91646,39.59472,15.34,13.58,0.1377,0.02,2455187.06412,0.00575,6.097326,0.000064,5918,250,250,-0.22,0.50,0.50,0.977,-1,-1,1.091,0.518,0.518,4.353,0.300,0.300,1.062,0.450,0.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.149,0.071,0.071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-288c,KTEP,288.91646,39.59472,15.34,13.58,0.1747,0.07,2455206.19055,0.00328,19.305772,0.000135,5918,250,250,-0.22,0.50,0.50,0.977,-1,-1,1.091,0.518,0.518,4.353,0.300,0.300,1.062,0.450,0.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.254,0.121,0.121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-288d,KTEP,288.91646,39.59472,15.34,13.58,0.2516,0.06,2454968.55296,0.01046,56.633742,0.000908,5918,250,250,-0.22,0.50,0.50,0.977,-1,-1,1.091,0.518,0.518,4.353,0.300,0.300,1.062,0.450,0.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.238,0.113,0.113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-290b,KTEP,286.41000,42.68156,15.83,13.45,0.1002,0.09,2454974.93413,0.00255,14.589347,0.000066,5147,200,200,-0.06,0.50,0.50,0.840,-1,-1,0.743,0.382,0.382,4.622,0.300,0.300,2.889,1.022,1.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.201,0.109,0.109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-290c,KTEP,286.41000,42.68156,15.83,13.45,0.1782,0.14,2454997.29316,0.00271,36.770310,0.000183,5147,200,200,-0.06,0.50,0.50,0.840,-1,-1,0.743,0.382,0.382,4.622,0.300,0.300,2.889,1.022,1.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.241,0.124,0.124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-291b,KTEP,287.91633,42.43731,16.08,14.15,0.0944,0.04,2454967.90112,0.00274,3.546511,0.000016,6002,200,200,0.07,0.50,0.50,1.116,-1,-1,1.016,0.441,0.441,4.472,0.300,0.300,1.501,0.450,0.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.193,0.084,0.084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-291c,KTEP,287.91633,42.43731,16.08,14.15,0.0686,0.03,2454965.68674,0.00483,5.700786,0.000055,6002,200,200,0.07,0.50,0.50,1.116,-1,-1,1.016,0.441,0.441,4.472,0.300,0.300,1.501,0.450,0.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.168,0.073,0.073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292b,KTEP,295.76612,42.42428,16.18,13.97,0.0872,0.03,2455004.56214,0.00512,2.580827,0.000020,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.118,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292c,KTEP,295.76612,42.42428,16.18,13.97,0.0967,0.03,2455002.79198,0.00513,3.715335,0.000033,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.131,0.013,0.013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292d,KTEP,295.76612,42.42428,16.18,13.97,0.1310,0.07,2455014.90973,0.00369,7.055679,0.000043,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.199,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292e,KTEP,295.76612,42.42428,16.18,13.97,0.1706,0.07,2455011.96640,0.00523,11.979010,0.000101,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.238,0.031,0.031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292f,KTEP,295.76612,42.42428,16.18,13.97,0.1809,0.08,2455019.03249,0.00604,20.834237,0.000184,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.210,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-293b,KTEP,286.35808,42.40650,15.53,13.66,0.1889,0.10,2454997.78133,0.00245,19.254196,0.000079,5804,200,200,0.13,0.50,0.50,1.066,-1,-1,0.957,0.398,0.398,4.504,0.300,0.300,1.716,0.537,0.537,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.274,0.116,0.116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-293c,KTEP,286.35808,42.40650,15.53,13.66,0.1920,0.11,2455005.36515,0.00521,54.155743,0.000466,5804,200,200,0.13,0.50,0.50,1.066,-1,-1,0.957,0.398,0.398,4.504,0.300,0.300,1.716,0.537,0.537,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.342,0.145,0.145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-294b,KTEP,287.39200,46.05931,16.01,14.17,0.1032,0.03,2455013.27593,0.00355,3.701212,0.000025,5913,200,200,-0.00,0.50,0.50,1.075,-1,-1,0.976,0.455,0.455,4.491,0.300,0.300,1.631,0.495,0.495,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.158,0.074,0.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-294c,KTEP,287.39200,46.05931,16.01,14.17,0.1323,0.08,2455016.98818,0.00227,6.626400,0.000028,5913,200,200,-0.00,0.50,0.50,1.075,-1,-1,0.976,0.455,0.455,4.491,0.300,0.300,1.631,0.495,0.495,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.242,0.113,0.113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-295b,KTEP,285.34583,45.36778,14.63,12.71,0.3589,0.02,2454971.62536,0.00812,12.645164,0.000181,5603,200,200,-0.33,0.50,0.50,0.816,-1,-1,0.898,0.473,0.473,4.444,0.300,0.300,1.590,0.774,0.774,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.109,0.057,0.057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-295c,KTEP,285.34583,45.36778,14.63,12.71,0.3422,0.02,2454965.28720,0.00960,21.526258,0.000336,5603,200,200,-0.33,0.50,0.50,0.816,-1,-1,0.898,0.473,0.473,4.444,0.300,0.300,1.590,0.774,0.774,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.104,0.055,0.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-295d,KTEP,285.34583,45.36778,14.63,12.71,0.2239,0.02,2454993.00625,0.00919,33.884054,0.000685,5603,200,200,-0.33,0.50,0.50,0.816,-1,-1,0.898,0.473,0.473,4.444,0.300,0.300,1.590,0.774,0.774,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.121,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-297b,KTEP,283.20917,48.77764,14.34,12.78,0.2552,0.09,2455004.28713,0.00209,38.871826,0.000153,5619,100,100,-0.22,0.10,0.10,0.887,-1,-1,0.915,0.165,0.165,4.468,0.150,0.150,1.633,0.548,0.548,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.256,0.046,0.046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-298b,KTEP,283.03979,48.82536,15.76,13.07,0.0967,0.11,2454985.64156,0.00150,10.475464,0.000027,4465,100,100,-0.24,0.10,0.10,0.632,-1,-1,0.582,0.025,0.025,4.709,0.150,0.150,4.526,0.414,0.414,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.175,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-298c,KTEP,283.03979,48.82536,15.76,13.07,0.0999,0.11,2455156.03372,0.01134,22.928810,0.000380,4465,100,100,-0.24,0.10,0.10,0.632,-1,-1,0.582,0.025,0.025,4.709,0.150,0.150,4.526,0.414,0.414,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.172,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-298d,KTEP,283.03979,48.82536,15.76,13.07,0.1847,0.16,2455017.24735,0.00490,77.473633,0.000615,4465,100,100,-0.24,0.10,0.10,0.632,-1,-1,0.582,0.025,0.025,4.709,0.150,0.150,4.526,0.414,0.414,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.223,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299b,KTEP,283.20696,48.58050,15.17,13.43,0.1061,0.02,2454966.82858,0.00650,2.927128,0.000033,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.118,0.024,0.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299c,KTEP,283.20696,48.58050,15.17,13.43,0.1670,0.04,2454971.40955,0.00356,6.885875,0.000040,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.236,0.056,0.056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299d,KTEP,283.20696,48.58050,15.17,13.43,0.1783,0.03,2454977.58557,0.00804,15.054786,0.000189,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.166,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299e,KTEP,283.20696,48.58050,15.17,13.43,0.2349,0.03,2454976.30747,0.02483,38.285489,0.001428,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.167,0.035,0.035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-300b,KTEP,295.28871,48.59972,14.35,12.74,0.0913,0.03,2454966.27803,0.00225,10.446347,0.000043,5986,200,200,-0.24,0.50,0.50,1.002,-1,-1,0.900,0.410,0.410,4.532,0.300,0.300,1.939,0.673,0.673,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.149,0.068,0.068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-300c,KTEP,295.28871,48.59972,14.35,12.74,0.3622,0.05,2454979.56443,0.00343,40.714955,0.000245,5986,200,200,-0.24,0.50,0.50,1.002,-1,-1,0.900,0.410,0.410,4.532,0.300,0.300,1.939,0.673,0.673,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.201,0.093,0.093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-301b,KTEP,283.98296,49.23300,14.44,12.70,0.0956,0.02,2454968.01010,0.00232,2.508553,0.000012,5815,200,200,-0.18,0.50,0.50,0.988,-1,-1,0.900,0.481,0.481,4.525,0.300,0.300,1.912,0.581,0.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-301c,KTEP,283.98296,49.23300,14.44,12.70,0.0950,0.02,2454964.64467,0.00371,5.419026,0.000032,5815,200,200,-0.18,0.50,0.50,0.988,-1,-1,0.900,0.481,0.481,4.525,0.300,0.300,1.912,0.581,0.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-301d,KTEP,283.98296,49.23300,14.44,12.70,0.1649,0.04,2454977.61227,0.00347,13.751243,0.000081,5815,200,200,-0.18,0.50,0.50,0.988,-1,-1,0.900,0.481,0.481,4.525,0.300,0.300,1.912,0.581,0.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.156,0.084,0.084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-303b,KTEP,283.13546,43.65706,14.89,11.59,0.0640,0.03,2454967.71867,0.00124,1.937055,0.000004,3944,150,150,-0.36,0.15,0.15,0.500,-1,-1,0.485,0.025,0.025,4.768,0.200,0.200,6.190,0.583,0.583,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.079,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-303c,KTEP,283.13546,43.65706,14.89,11.59,0.0439,0.05,2454969.27187,0.00152,7.061149,0.000019,3944,150,150,-0.36,0.15,0.15,0.500,-1,-1,0.485,0.025,0.025,4.768,0.200,0.200,6.190,0.583,0.583,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.102,0.008,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-304b,KTEP,294.44179,40.55758,15.15,12.62,0.0749,0.17,2454966.96482,0.00037,3.295709,0.000002,4731,100,100,0.02,0.10,0.10,0.743,-1,-1,0.687,0.037,0.037,4.635,0.150,0.150,3.234,0.397,0.397,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.255,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-304c,KTEP,294.44179,40.55758,15.15,12.62,0.0464,0.10,2454965.42892,0.00085,5.315946,0.000007,4731,100,100,0.02,0.10,0.10,0.743,-1,-1,0.687,0.037,0.037,4.635,0.150,0.150,3.234,0.397,0.397,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.194,0.013,0.013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-304d,KTEP,294.44179,40.55758,15.15,12.62,0.1245,0.13,2454967.85589,0.00091,9.653471,0.000015,4731,100,100,0.02,0.10,0.10,0.743,-1,-1,0.687,0.037,0.037,4.635,0.150,0.150,3.234,0.397,0.397,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.245,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-304e,KTEP,294.44175,40.55758,15.15,12.63,0.0594,0.03,2454966.07022,0.00200,1.4991444,0.0000038,4817,68,47,0.05,0.12,0.11,0.800,0.020,0.040,0.730,0.010,0.020,4.610,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.097,0.007,0.004,-1,-1,-1,-1,-1,-1,1137,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306b,KTEP,288.53867,40.61614,15.80,13.50,0.0965,0.05,2455187.59058,0.00257,4.646186,0.000025,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.136,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306c,KTEP,288.53867,40.61614,15.80,13.50,0.1272,0.08,2455188.01328,0.00219,7.240193,0.000032,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.210,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306d,KTEP,288.53867,40.61614,15.80,13.50,0.1990,0.08,2455193.50885,0.00396,17.326644,0.000137,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.220,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306e,KTEP,288.53867,40.61614,15.80,13.50,0.2285,0.10,2455192.87387,0.00446,44.840975,0.000439,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.203,0.013,0.013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-308b,KTEP,295.78517,40.43956,16.01,14.18,0.1087,0.05,2455015.45617,0.00558,9.694928,0.000090,5895,200,200,-0.11,0.50,0.50,1.038,-1,-1,0.941,0.452,0.452,4.508,0.300,0.300,1.758,0.548,0.548,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.189,0.091,0.091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-308c,KTEP,295.78517,40.43956,16.01,14.18,0.1646,0.05,2454972.08277,0.00623,15.382310,0.000171,5895,200,200,-0.11,0.50,0.50,1.038,-1,-1,0.941,0.452,0.452,4.508,0.300,0.300,1.758,0.548,0.548,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.193,0.093,0.093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-309b,KTEP,297.50987,46.96125,15.47,12.85,0.1161,0.04,2454967.68239,0.00245,5.923653,0.000028,4713,100,100,0.20,0.10,0.10,0.778,-1,-1,0.721,0.040,0.040,4.612,0.150,0.150,2.927,0.388,0.388,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.139,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-309c,KTEP,297.50987,46.96125,15.47,12.85,0.1524,0.12,2454971.68392,0.00345,105.356383,0.000857,4713,100,100,0.20,0.10,0.10,0.778,-1,-1,0.721,0.040,0.040,4.612,0.150,0.150,2.927,0.388,0.388,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.224,0.016,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-310b,KTEP,288.83937,46.98675,14.45,12.62,0.0877,0.02,2454967.42673,0.00470,13.930698,0.000108,5797,200,200,-0.30,0.50,0.50,0.925,-1,-1,0.876,0.406,0.406,4.521,0.300,0.300,1.942,0.650,0.650,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.106,0.050,0.050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-310c,KTEP,288.83937,46.98675,14.45,12.62,0.2555,0.11,2454976.81309,0.00221,56.475420,0.000207,5797,200,200,-0.30,0.50,0.50,0.925,-1,-1,0.876,0.406,0.406,4.521,0.300,0.300,1.942,0.650,0.650,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.302,0.141,0.141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-310d,KTEP,288.83937,46.98675,14.45,12.62,0.2969,0.07,2454978.92567,0.00419,92.876125,0.000785,5797,200,200,-0.30,0.50,0.50,0.925,-1,-1,0.876,0.406,0.406,4.521,0.300,0.300,1.942,0.650,0.650,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.220,0.103,0.103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-311b,KTEP,282.06129,47.08550,13.89,12.41,0.1809,0.02,2454971.71740,0.00374,9.176092,0.000057,5905,131,131,-0.09,0.10,0.10,1.025,-1,-1,1.188,0.230,0.230,4.308,0.150,0.150,0.863,0.422,0.422,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.152,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-311c,KTEP,282.06129,47.08550,13.89,12.41,0.2025,0.01,2454966.28529,0.00650,19.738286,0.000205,5905,131,131,-0.09,0.10,0.10,1.025,-1,-1,1.188,0.230,0.230,4.308,0.150,0.150,0.863,0.422,0.422,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.128,0.025,0.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-312b,KTEP,298.39575,42.45975,13.07,11.59,0.1022,0.01,2454965.08778,0.00381,1.772419,0.000012,6115,100,100,0.05,0.10,0.10,1.213,-1,-1,1.467,0.283,0.283,4.191,0.150,0.150,0.542,0.284,0.284,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.115,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-312c,KTEP,298.39575,42.45975,13.07,11.59,0.1407,0.05,2454980.10360,0.00191,19.747412,0.000068,6115,100,100,0.05,0.10,0.10,1.213,-1,-1,1.467,0.283,0.283,4.191,0.150,0.150,0.542,0.284,0.284,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.281,0.054,0.054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-313b,KTEP,298.29496,48.77547,14.30,12.51,0.2441,0.03,2454967.50060,0.00429,14.970418,0.000114,5727,100,100,0.21,0.10,0.10,1.148,-1,-1,1.536,0.162,0.162,4.127,0.150,0.150,0.447,0.272,0.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.226,0.028,0.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
