System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
Kepler-289c TEP 297.46533 42.88283 14.11 12.51 0.1482 0.06 2454975.624 0.0052 66.0282 0.0042 5990 38 38 0.065 0.04 0.04 1.08 0.02 0.02 1.0 0.02 0.02 4.47 0.01 0.01 1.19 0.05 0.05 -1.0 -1.0 -1.0 0.33 0.02 0.02 0.0168 0.0014 0.0013 0.27 0.007 0.007 -1.0 -1.0 -1 0.86 0.07 0.07 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-307b TEP 297.79513 40.41772 14.25 12.32 0.1128 0.08 2454976.04582 0.00098 10.415728 1.8e-05 5367 94 94 0.028 0.017 0.017 0.907 0.034 0.034 0.814 0.024 0.024 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1 0.0234 0.0029 0.0027 0.217 0.008 0.008 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-307c TEP 297.79513 40.41772 14.25 12.32 0.1293 0.07 2454965.63174 0.00134 13.084194 3.3e-05 5367 94 94 0.028 0.017 0.017 0.907 0.034 0.034 0.814 0.024 0.024 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1 0.0115 0.0021 0.0018 0.196 0.006 0.006 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-406b TEP 291.84804 44.96822 12.67 10.97 0.11 0.018 2454954.9285 0.001 2.4263068 1.3e-06 5538 74 74 0.18 0.07 0.07 1.07 0.06 0.06 1.07 0.02 0.02 4.409 0.02 0.02 0.79 0.01 0.01 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.02 0.004 0.004 0.128 0.003 0.003 -1.0 -1.0 -1 8.91 2.04 2.04 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-411b TEP 287.60563 49.52325 12.55 10.06 0.082 0.068 2455135.3874 0.0003 3.005156 2e-06 4906 48 51 0.05 0.11 0.1 0.81 0.02 0.03 0.75 0.02 0.02 4.6 0.01 0.01 -1.0 -1.0 -1.0 0.146 0.005 0.004 0.0375 0.0008 0.0008 0.081 0.008 0.008 0.214 0.005 0.005 -1.0 -1.0 -1 7.71 0.95 0.95 1138.0 17.0 17.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-411c TEP 287.60563 49.52325 12.55 10.06 0.1161 0.205 2454960.38763 0.00011 7.8344362 1.1e-06 4906 48 51 0.05 0.11 0.1 0.81 0.02 0.03 0.75 0.02 0.02 4.6 0.01 0.01 -1.0 -1.0 -1.0 0.108 0.003 0.004 0.0739 0.001 0.0010 0.083 0.019 0.019 0.394 0.006 0.006 -1.0 -1.0 -1 1.18 0.29 0.29 838.0 10.0 10.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-454 TEP 287.4785 38.22883 11.59 9.97 0.071 0.03 2455008.06759 0.00077 10.5737534 7.8e-06 5687 50 50 0.32 0.08 0.08 1.028 0.04 0.03 1.066 0.012 0.012 4.395 0.077 0.055 0.904 0.011 0.011 0.0 0.34 0.0 0.0954 0.0012 0.0012 0.0214 0.0044 0.0044 0.211 0.012 0.012 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-538 TEP 297.48687 49.62344 11.27 9.65 0.276 0.05 2454962.94024 0.00074 81.73798 7.3e-05 5547 50 50 -0.03 0.08 0.08 0.892 0.051 0.035 0.8717 0.0064 0.0061 4.51 0.1 0.10 1.349 0.089 0.072 0.041 0.034 0.029 0.4669 0.0087 0.0090 0.0333 0.0079 0.0075 0.1976 0.0036 0.003 -1.0 -1.0 -1 4.1 1.0 1.0 380.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-1705b TEP 301.57854 44.31217 15.8 13.74 0.2 0.02 2455198.214 0.011 9.03502 0.00065 6312 215 152 -0.2 0.15 0.15 1.139 0.087 0.081 1.259 0.032 0.051 4.298 0.043 0.047 0.573 0.077 0.07 0.033 0.073 0.02 -1.0 -1.0 -1 0.0141 0.0015 0.0014 0.181 0.011 0.012 -1.0 -1.0 -1 2.24 0.5 0.41 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
Kepler-1705c TEP 301.57854 44.31217 15.8 13.74 0.21 0.02 2455207.396 0.019 11.28 0.001 6312 215 152 -0.2 0.15 0.15 1.139 0.087 0.081 1.259 0.032 0.051 4.298 0.043 0.047 0.573 0.077 0.07 0.028 0.064 0.018 -1.0 -1.0 -1 0.017 0.0019 0.0015 0.183 0.013 0.013 -1.0 -1.0 -1 2.65 0.62 0.5 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LTT_9779 TEP 358.66917 -37.62839 9.76 8.02 0.035 0.2 2458783.51636 0.00027 0.79207022 6.9e-07 5445 84 84 0.25 0.08 0.08 1.03 0.03 0.04 0.95 0.01 0.01 4.43 0.31 0.31 1.28 0.04 0.05 0.0 -1.0 -1.0 0.01679 0.00014 0.00012 0.0922 0.0025 0.0025 0.421 0.021 0.021 -1.0 -1.0 -1 1.158 0.093 0.093 1978.0 19.0 19.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
NGTS-14 TEP 328.5175 -38.37742 13.24 11.31 0.0933 0.3 2457502.5545 0.002 3.5357173 6.9e-06 5187 11 11 0.1 0.03 0.03 0.898 0.035 0.035 0.842 0.006 0.006 4.2 0.04 0.04 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.0403 0.0071 0.0071 0.092 0.012 0.012 0.444 0.03 0.03 12.0 2.4 2.0 1.05 0.25 0.25 1143.0 139.0 139.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-125b TEP 23.59475 -66.67583 11.1 9.0 0.1234 0.1 2458355.3553 0.001 4.65382 0.00032 5320 39 39 -0.02 0.03 0.03 0.859 0.044 0.038 0.848 0.011 0.011 4.516 0.024 0.024 1.41 0.09 0.08 0.194 0.041 0.036 0.05186 0.00086 0.00087 0.0299 0.0028 0.0028 0.2432 0.0067 0.0067 13.5 1.4 1.3 1.94 0.25 0.25 1037.0 11.0 11.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-125c TEP 23.59475 -66.67583 11.1 9.0 0.1231 0.1 2458361.9085 0.0013 9.15059 0.00076 5320 39 39 -0.02 0.03 0.03 0.859 0.044 0.038 0.848 0.011 0.011 4.516 0.024 0.024 1.41 0.09 0.08 0.066 0.07 0.047 0.0814 0.0013 0.0013 0.0209 0.0031 0.0031 0.246 0.009 0.009 8.5 1.4 1.4 1.3 0.25 0.25 828.0 9.0 9.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-125d TEP 23.59475 -66.67583 11.1 9.0 0.1297 0.12 2458342.8516 0.0039 19.98 0.0053 5320 39 39 -0.02 0.03 0.03 0.859 0.044 0.038 0.848 0.011 0.011 4.516 0.024 0.024 1.41 0.09 0.08 0.168 0.088 0.062 0.137 0.0022 0.0022 0.0428 0.0038 0.0038 0.261 0.015 0.015 15.6 2.5 2.1 2.25 0.49 0.39 638.0 7.0 7.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-130 TEP 12.54125 -83.74389 8.01 6.61 0.1932 0.04 2458680.6994 0.0008 14.33916 5e-05 6203 64 64 -0.12 0.04 0.04 1.126 0.035 0.036 1.194 0.016 0.017 4.5 0.11 0.11 0.661 0.038 0.039 0.22 0.15 0.13 0.12 0.001 0.001 0.0245 0.0044 0.0041 0.219 0.004 0.004 12.6 2.4 2.3 2.2 0.4 0.4 943.0 12.0 12.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-132 TEP 338.39946 -43.43664 11.29 9.65 0.086 0.1 2458343.77954 0.00093 2.1097008 1.2e-06 5397 46 46 0.16 0.1 0.1 0.97 0.06 0.06 0.9 0.02 0.02 4.48 0.23 0.23 1.34 0.11 0.11 0.087 0.054 0.057 0.026 0.002 0.003 0.0717 0.0057 0.0057 0.306 0.012 0.012 -1.0 -1.0 -1 2.34 0.33 0.34 1384.0 53.0 75.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-178c TEP 7.30125 -30.45375 11.95 8.76 0.0813 0.06 2458741.4783 0.0032 3.23845 2e-05 4316 70 70 -0.23 0.05 0.05 0.65 0.027 0.029 0.651 0.011 0.011 4.45 0.15 0.15 2.35 0.17 0.17 -1.0 -1.0 -1.0 0.037 0.0011 0.0011 0.015 0.0017 0.0021 0.1489 0.0102 0.0088 -1.0 -1.0 -1 4.2 1.2 1.0 873.0 18.0 18.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-178f TEP 7.30125 -30.45375 11.95 8.76 0.0978 0.1 2458745.7178 0.0025 15.23192 0.00011 4316 70 70 -0.23 0.05 0.05 0.65 0.027 0.029 0.651 0.011 0.011 4.45 0.15 0.15 2.35 0.17 0.17 -1.0 -1.0 -1.0 0.1039 0.0031 0.0031 0.0243 0.0053 0.0048 0.204 0.01 0.01 -1.0 -1.0 -1 2.69 0.87 0.62 521.0 11.0 11.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-220 TEP 91.79988 -61.99692 10.42 8.54 0.0933 0.1 2458335.902 0.0004 10.695264 8.6e-05 5298 65 65 -0.19 0.05 0.05 0.825 0.028 0.028 0.858 0.032 0.032 4.37 0.11 0.11 1.31 0.15 0.15 0.032 0.038 0.023 0.0892 0.001 0.0010 0.0434 0.0031 0.0031 0.27 0.013 0.013 -1.0 -1.0 -1 2.06 0.35 0.35 805.0 21.0 21.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-421b TEP 81.85346 -14.27697 9.93 8.07 0.113 0.3 2458440.13169 0.00069 16.06815 0.00035 5325 78 58 -0.02 0.05 0.05 0.852 0.029 0.021 0.871 0.012 0.012 4.486 0.025 0.018 1.296 0.068 0.071 0.171 0.087 0.086 0.1182 0.0026 0.0027 0.0511 0.0035 0.0034 0.461 0.012 0.012 -1.0 -1.0 -1 0.486 0.052 0.047 697.0 12.0 12.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-421c TEP 81.85346 -14.27697 9.93 8.07 0.0465 0.15 2458441.2847 0.0019 5.19676 0.00049 5325 78 58 -0.02 0.05 0.05 0.852 0.029 0.021 0.871 0.012 0.012 4.486 0.025 0.018 1.296 0.068 0.071 0.147 0.069 0.065 0.0557 0.0012 0.0013 0.0222 0.0022 0.0022 0.243 0.017 0.017 -1.0 -1.0 -1 1.45 0.37 0.29 1015.0 18.0 18.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-431b TEP 83.26925 -26.72386 9.12 6.72 0.024 0.05 2458627.538 0.003 0.490047 9e-06 4850 75 75 0.2 0.05 0.05 0.78 0.07 0.07 0.731 0.022 0.022 4.6 0.06 0.06 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.0113 0.0002 0.0003 0.0097 0.0011 0.0011 0.114 0.004 0.004 -1.0 -1.0 -1 6.0 0.8 0.8 1862.0 42.0 42.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-431d TEP 83.26925 -26.72386 9.12 6.72 0.25 0.2 2458627.5453 0.0003 12.46103 2e-05 4850 75 75 0.2 0.05 0.05 0.78 0.07 0.07 0.731 0.022 0.022 4.6 0.06 0.06 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.098 0.002 0.002 0.0311 0.0048 0.0047 0.294 0.008 0.008 -1.0 -1.0 -1 1.03 0.19 0.19 633.0 14.0 14.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-500b TEP 106.55908 -47.58781 10.54 7.72 0.0416 0.03 2458468.3905 0.0017 0.548177 1.9e-05 4440 100 100 0.12 0.08 0.08 0.74 0.017 0.017 0.678 0.016 0.016 4.618 0.017 0.017 -1.0 -1.0 -1.0 0.063 0.073 0.044 0.01189 0.0004 0.00041 0.0045 0.0006 0.0006 0.104 0.0054 0.0052 -1.0 -1.0 -1 3.69 0.56 0.66 1617.0 41.0 41.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-561b TEP 148.18517 6.21611 10.25 8.39 0.0546 0.02 2459231.7498 0.0005 0.4465688 8e-07 5372 70 70 -0.4 0.05 0.05 0.806 0.036 0.036 0.843 0.005 0.005 4.47 0.01 0.01 1.34 0.06 0.06 0.0 -1.0 -1.0 0.0106 0.0001 0.0001 0.007 0.0006 0.0006 0.1271 0.0033 0.0033 -1.0 -1.0 -1 2.86 0.41 0.41 2310.0 33.0 33.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-561c TEP 148.18517 6.21611 10.25 8.39 0.156 0.09 2459238.4629 0.0009 10.778831 3.5e-05 5372 70 70 -0.4 0.05 0.05 0.806 0.036 0.036 0.843 0.005 0.005 4.47 0.01 0.01 1.34 0.06 0.06 0.03 0.035 0.021 0.0884 0.0009 0.0009 0.0207 0.0023 0.0023 0.26 0.003 0.003 -1.0 -1.0 -1 0.91 0.12 0.12 800.0 11.0 11.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-561d TEP 148.18517 6.21611 10.25 8.39 0.189 0.07 2459318.966 0.004 25.7124 0.0002 5372 70 70 -0.4 0.05 0.05 0.806 0.036 0.036 0.843 0.005 0.005 4.47 0.01 0.01 1.34 0.06 0.06 0.122 0.054 0.048 0.158 0.002 0.002 0.0382 0.0035 0.0035 0.252 0.006 0.006 -1.0 -1.0 -1 2.44 0.25 0.25 598.0 9.0 9.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-561e TEP 148.18517 6.21611 10.25 8.39 0.291 0.08 2458538.18 0.005 77.03 0.25 5372 70 70 -0.4 0.05 0.05 0.806 0.036 0.036 0.843 0.005 0.005 4.47 0.01 0.01 1.34 0.06 0.06 0.079 0.058 0.05 0.328 0.003 0.003 0.0428 0.0044 0.0044 0.227 0.011 0.012 -1.0 -1.0 -1 3.15 0.58 0.58 415.0 6.0 6.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-733 TEP 159.40933 -40.88825 9.44 7.85 0.109 0.04 2458545.7767 0.0027 4.884765 2.2e-05 5585 60 60 -0.04 0.05 0.05 0.956 0.05 0.026 0.949 0.008 0.012 4.47 0.05 0.05 -1.0 -1.0 -1.0 0.046 0.056 0.033 0.0618 0.0036 0.0039 0.018 0.0022 0.0021 0.1777 0.0076 0.008 17.5 3.4 3.2 3.0 0.58 0.5 1056.0 36.0 31.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-824 TEP 222.16546 -57.58886 11.15 8.43 0.04806 0.15 2458639.60354 0.00035 1.392978 1.8e-05 4616 51 51 -0.15 0.02 0.02 0.712 0.032 0.031 0.695 0.027 0.027 4.605 0.021 0.026 2.11 0.21 0.19 -1.0 -1.0 -1.0 0.02177 0.00032 0.00032 0.0581 0.0058 0.0059 0.261 0.018 0.017 21.0 3.6 3.1 3.04 0.74 0.59 1253.0 38.0 37.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-836b TEP 225.07983 -24.45419 9.92 6.8 0.0752 0.06 2458599.9953 0.0019 3.81673 1e-05 4552 154 154 -0.284 0.067 0.067 0.678 0.049 0.041 0.665 0.01 0.01 4.74 0.11 0.11 2.335 0.056 0.065 0.053 0.042 0.042 0.0422 0.00093 0.00093 0.0143 0.0029 0.0027 0.152 0.006 0.006 -1.0 -1.0 -1 3.78 0.27 0.33 871.0 36.0 36.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-849 TEP 28.71579 -29.42172 11.98 10.42 0.065 0.1 2458394.73767 9e-05 0.765524 2.7e-06 5375 42 41 0.19 0.03 0.03 0.929 0.023 0.023 0.919 0.31 0.022 4.48 0.03 0.04 1.2 0.11 0.13 0.0 -1.0 -1.0 0.01598 0.00013 0.00013 0.128 0.008 0.008 0.308 0.015 0.011 -1.0 -1.0 -1 4.2 0.6 0.6 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-969 TEP 115.13683 2.09892 11.65 8.88 0.0633 0.014 2459248.37709 0.00038 1.8237305 2.1e-06 4435 80 80 0.175 0.019 0.019 0.734 0.014 0.014 0.671 0.015 0.015 4.55 0.06 0.06 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.02636 0.00017 0.00017 0.0286 0.0031 0.0031 0.2467 0.0079 0.0087 11.6 1.6 1.5 1.76 0.29 0.2 941.0 31.0 31.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1062 TEP 38.11867 -78.02378 10.25 8.3 0.06 0.04 2459082.58 0.09 4.11412 0.0015 5328 56 56 0.14 0.04 0.04 0.94 0.02 0.02 0.84 0.09 0.09 4.55 0.09 0.09 1.57 0.07 0.07 0.179 0.08 0.061 0.052 0.023 0.025 0.032 0.0026 0.0027 0.202 0.0085 0.0081 -1.0 -1.0 -1 3.66 0.64 0.56 1077.0 10.0 9.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1064b TEP 296.00396 -47.56161 10.95 8.47 0.0825 0.1 2459036.8534 0.00057 6.443868 2.5e-05 4374 67 67 0.05 0.08 0.08 0.748 0.032 0.032 0.726 0.007 0.007 4.6 0.06 0.06 1.95 0.1 0.1 0.047 0.038 0.03 0.06152 0.00086 0.00089 0.0425 0.0053 0.0057 0.2308 0.0038 0.0037 19.7 2.5 2.7 3.23 0.41 0.46 784.0 13.0 13.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1238c TEP 201.38233 68.83606 12.8 9.18 0.0733 0.11 2458707.3521 0.0019 3.294733 4.4e-05 4089 54 54 0.31 0.19 0.19 0.59 0.02 0.02 0.58 0.02 0.02 4.63 0.06 0.06 -1.0 -1.0 -1.0 0.0 0.15 0.0 0.037 0.002 0.002 0.0262 0.0028 0.0028 0.188 0.012 0.012 -1.0 -1.0 -1 3.7 1.9 1.4 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1246b TEP 251.1165 70.42964 11.63 9.91 0.09 0.1 2458686.5658 0.001 4.30744 2e-05 5151 100 100 0.17 0.08 0.08 0.87 0.03 0.03 0.86 0.05 0.05 4.4 0.1 0.1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.049 0.002 0.002 0.025 0.003 0.003 0.269 0.005 0.005 -1.0 -1.0 -1 1.23 0.17 0.17 955.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1246c TEP 251.1165 70.42964 11.63 9.91 0.11 0.03 2458683.4661 0.0027 5.904144 8.3e-05 5151 100 100 0.17 0.08 0.08 0.87 0.03 0.03 0.86 0.05 0.05 4.4 0.1 0.1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.061 0.002 0.002 0.028 0.004 0.004 0.224 0.007 0.007 -1.0 -1.0 -1 2.42 0.33 0.33 860.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1246e TEP 251.1165 70.42964 11.63 9.91 0.16 0.15 2458700.7134 0.0089 37.9216 0.001 5151 100 100 0.17 0.08 0.08 0.87 0.03 0.03 0.86 0.05 0.05 4.4 0.1 0.1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.211 0.007 0.007 0.047 0.007 0.007 0.337 0.014 0.014 -1.0 -1.0 -1 1.14 0.2 0.2 462.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1260b TEP 157.144 65.85419 11.88 8.95 0.086 0.1 2459065.56427 0.0004 3.127463 6e-06 4227 85 85 -0.1 0.07 0.07 0.679 0.095 0.067 0.672 0.01 0.01 4.57 0.05 0.05 2.43 0.06 0.06 0.0 -1.0 -1.0 0.0367 0.0011 0.0011 0.0269 0.0048 0.0048 0.215 0.005 0.005 14.5 3.3 2.7 2.53 0.48 0.48 871.0 24.0 24.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1272 TEP 199.19658 49.86103 11.76 9.7 0.06 0.2 2458713.0253 0.0006 3.31599 2e-05 4985 121 121 0.17 0.06 0.06 0.851 0.049 0.049 0.788 0.033 0.033 4.55 0.1 0.10 1.74 0.24 0.24 0.338 0.056 0.062 0.0412 0.0008 0.0008 0.0774 0.0072 0.0072 0.369 0.019 0.019 -1.0 -1.0 -1 -1.0 -1.0 -1.0 961.0 32.0 32.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1288b TEP 313.16658 65.60908 10.44 9.78 0.11 0.3 2458712.3587 0.0002 2.699835 4e-06 5225 23 27 0.07 0.09 0.09 0.89 0.04 0.02 1.01 0.015 0.015 4.24 0.09 0.09 1.58 0.07 0.07 0.064 0.014 0.015 0.0429 0.0006 0.0006 0.132 0.009 0.009 0.467 0.008 0.008 -1.0 -1.0 -1 1.0 0.4 0.4 1266.0 27.0 27.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1444 TEP 305.47492 70.94369 10.94 9.06 0.058 0.02 2458711.3676 0.0016 0.4702694 4.4e-06 5430 90 90 0.13 0.06 0.06 0.934 0.038 0.038 0.907 0.016 0.016 4.49 0.03 0.03 0.879 0.071 0.071 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.0121 0.0022 0.0022 0.1246 0.0057 0.0057 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1710 TEP 94.28275 76.21078 9.62 7.96 0.218 0.3 2459031.23025 0.00042 24.283429 4.3e-05 5665 55 55 0.1 0.07 0.07 0.985 0.05 0.059 0.968 0.016 0.014 4.46 0.1 0.10 1.08 0.11 0.11 0.16 0.08 0.08 0.16 0.04 0.04 0.089 0.015 0.015 0.476 0.01 0.01 -1.0 -1.0 -1 0.71 0.17 0.17 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1759 TEP 326.85163 62.75381 11.5 7.93 0.135 0.3 2458745.4654 0.0011 18.85019 0.00013 4065 51 51 0.05 0.16 0.16 0.606 0.02 0.02 0.597 0.015 0.051 4.65 0.04 0.04 2.8 0.23 0.23 0.0 -1.0 -1.0 0.1177 0.0038 0.0038 0.034 0.0047 0.0047 0.28 0.009 0.009 10.7 1.6 1.6 1.44 0.24 0.24 443.0 7.0 7.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1807 TEP 201.28333 38.92247 10.11 7.57 0.1386 0.03 2457000.166 0.025 0.549372 7e-06 4757 51 50 -0.029 0.061 0.043 0.75 0.025 0.024 0.68 0.015 0.015 4.648 0.021 0.020 2.38 0.16 0.15 -1.0 -1.0 -1.0 0.0135 0.0013 0.0022 0.0071 0.0017 0.0017 0.1222 0.0089 0.008 -1.0 -1.0 -1 4.1 1.2 1.2 1499.0 82.0 129.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-2000b TEP 146.39704 -66.68664 10.98 9.3 0.0815 0.05 2458901.7192 0.00021 3.098331 2e-05 5607 86 82 0.438 0.041 0.042 1.074 0.059 0.05 1.113 0.011 0.011 4.576 0.026 0.023 0.779 0.052 0.045 0.0 -1.0 -1.0 0.0426 0.00076 0.00067 0.0324 0.007 0.007 0.236 0.01 0.011 -1.0 -1.0 -1 2.31 0.63 0.54 1475.0 120.0 158.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
WASP-047c TEP 331.203 -12.01883 11.93 10.19 0.08 0.025 2457011.34862 0.0003 0.7895933 4.4e-06 5576 67 67 0.36 0.05 0.05 1.058 0.047 0.047 1.156 0.009 0.009 4.3437 0.0063 0.0063 0.708 0.01 0.01 0.03 0.036 0.02 0.01688 0.00017 0.00017 0.0283 0.0016 0.0016 0.1613 0.0023 0.0023 20.5 2.0 2.0 4.74 0.45 0.45 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
WASP-047d TEP 331.203 -12.01883 11.93 10.19 0.18 0.1 2457006.36955 0.00035 9.03055 8e-05 5576 67 67 0.36 0.05 0.05 1.058 0.047 0.047 1.156 0.009 0.009 4.3437 0.0063 0.0063 0.708 0.01 0.01 0.001 0.0008 0.0008 0.08609 0.00087 0.00087 0.0488 0.0025 0.0025 0.3182 0.004 0.004 10.1 1.1 1.1 1.3 0.13 0.13 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
WASP-156 TEP 32.78171 2.418 11.57 9.34 0.09969 0.5 2458414.136153 6.5e-05 3.8361603 4.8e-07 4910 61 61 0.24 0.12 0.12 0.842 0.052 0.052 0.76 0.03 0.03 4.6 0.04 0.07 1.9 0.1 0.3 0.0 0.007 0.0 0.0453 0.0009 0.0009 0.128 0.01 0.009 0.51 0.02 0.02 -1.0 -1.0 -1 1.0 0.1 0.1 970.0 30.0 20.0 106.0 14.0 14.0 -999.0 -999.0 -999.0
Wolf_503 TEP 206.84767 -6.13686 10.28 7.62 0.0554 0.07 2458191.36145 0.00011 6.00127 2.1e-05 4716 60 60 -0.47 0.08 0.08 0.688 0.023 0.016 0.689 0.021 0.02 4.62 0.02 0.01 1.54 0.09 0.09 0.41 0.05 0.05 0.05706 0.00055 0.00055 0.0197 0.0022 0.0022 0.1823 0.0062 0.0062 -1.0 -1.0 -1 2.2 0.38 0.33 790.0 15.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
