System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
HD_191939c TEP 302.02562 66.85031 8.97 7.18 0.1734 0.1 2459440.5491 0.0009 28.579743 4.5e-05 5427 50 50 -0.16 0.08 0.08 0.92 0.06 0.06 0.945 0.021 0.021 4.4 0.1 0.10 1.16 0.62 0.28 0.034 0.034 0.013 0.1752 0.0055 0.0050 0.0252 0.0031 0.0031 0.285 0.0067 0.0067 7.7 1.1 1.0 1.02 0.15 0.15 600.0 13.0 13.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_191939d TEP 302.02562 66.85031 8.97 7.18 0.223 0.1 2459433.906 0.0007 38.353037 6e-05 5427 50 50 -0.16 0.08 0.08 0.92 0.06 0.06 0.945 0.021 0.021 4.4 0.1 0.10 1.16 0.62 0.28 0.031 0.018 0.012 0.2132 0.0065 0.0061 0.0088 0.0019 0.0019 0.2672 0.0062 0.0062 3.1 0.7 0.7 0.43 0.1 0.1 540.0 11.0 11.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_207897 TEP 325.18658 84.3335 8.37 6.31 0.1213 0.09 2458926.10942 0.00048 16.202159 8.4e-05 5070 60 57 -0.21 0.02 0.02 0.8 0.036 0.03 0.779 0.019 0.018 4.559 0.026 0.052 1.69 0.13 0.13 0.047 0.057 0.033 0.1163 0.0017 0.0015 0.0453 0.005 0.005 0.2231 0.0073 0.007 22.5 2.9 2.7 3.81 0.58 0.52 632.0 8.0 7.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_213885 TEP 338.98371 -59.86483 8.0 6.42 0.061 0.02 2458379.97043 0.0012 1.008035 2.1e-05 5978 50 50 -0.04 0.03 0.03 1.068 0.02 0.018 1.1101 0.008 0.0075 4.3827 0.0095 0.0097 0.799 0.023 0.023 0.0 0.16 0.0 0.0568 0.00044 0.00032 0.0278 0.0021 0.002 0.1557 0.0045 0.0046 28.5 2.8 2.7 6.9 0.8 0.8 1265.0 7.0 8.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_219134b TEP 348.32075 57.16836 5.57 3.26 0.0394 0.036 2457126.69913 0.00087 3.092926 1e-05 4699 16 16 0.11 0.04 0.04 0.81 0.03 0.03 0.778 0.005 0.005 4.567 0.018 0.018 1.719 0.073 0.073 0.0 0.14 0.0 0.03876 0.00047 0.00047 0.0149 0.0006 0.0006 0.1429 0.0049 0.0049 -1.0 -1.0 -1 4.76 0.54 0.54 1015.0 8.0 8.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_219134c TEP 348.32075 57.16836 5.57 3.26 0.0692 0.032 2457474.04591 0.00088 6.76458 0.00033 4699 16 16 0.11 0.04 0.04 0.81 0.03 0.03 0.778 0.005 0.005 4.567 0.018 0.018 1.719 0.073 0.073 0.062 0.039 0.039 0.0653 0.0008 0.00080 0.0137 0.0007 0.0007 0.1348 0.0042 0.0042 -1.0 -1.0 -1 5.22 0.58 0.58 782.0 6.0 6.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_219666 TEP 349.55679 -56.90389 9.9 8.16 0.0899 0.17 2458329.1996 0.0012 6.03446 1.1e-05 5527 65 65 0.04 0.04 0.04 0.92 0.03 0.03 1.03 0.03 0.03 4.4 0.11 0.11 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.0636 0.0027 0.0027 0.0522 0.0041 0.0041 0.42 0.015 0.015 -1.0 -1.0 -1 0.656 0.09 0.083 1073.0 20.0 20.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HIP_97166 TEP 296.24433 74.06275 9.85 7.92 0.06 0.09 2458691.6486 0.0007 10.28891 4e-05 5198 100 100 0.27 0.09 0.09 0.898 0.054 0.054 0.836 0.036 0.036 4.41 0.1 0.10 1.53 0.22 0.22 0.16 0.03 0.03 0.089 0.001 0.001 0.0629 0.0047 0.0047 0.244 0.012 0.012 -1.0 -1.0 -1 4.0 0.7 0.7 642.0 22.0 22.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-002 TEP 353.95533 0.44553 10.19 8.03 0.094 0.1 2456907.89 0.03 9.1205 0.0005 5089 50 50 -0.16 0.08 0.08 0.775 0.027 0.027 0.716 0.024 0.024 4.59 0.026 0.026 2.11 0.23 0.23 0.205 0.072 0.072 -1.0 -1.0 -1 0.037 0.004 0.004 0.226 0.016 0.016 18.2 3.7 3.1 3.14 0.81 0.81 690.0 14.0 14.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-019c TEP 174.96033 0.60358 13.0 11.16 0.1536 0.25 2456817.2755 0.0022 11.90727 6e-05 5430 60 60 0.1 0.04 0.04 0.93 0.05 0.05 0.86 0.04 0.04 4.63 0.07 0.07 1.23 0.33 0.33 0.21 0.03 0.03 0.1001 0.0029 0.0029 0.034 0.0019 0.0019 0.366 0.018 0.018 9.0 2.1 2.6 0.89 0.43 0.43 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-024b TEP 242.57371 -24.99033 11.28 9.18 0.228 0.2 2456905.8855 0.0054 20.88977 0.00035 5625 60 60 0.34 0.04 0.04 1.07 0.06 0.06 1.16 0.04 0.4 4.29 0.05 0.05 -1.0 -1.0 -1.0 0.06 0.01 0.01 0.154 0.002 0.002 0.057 0.0069 0.0066 0.482 0.018 0.018 -1.0 -1.0 -1 0.482 0.09 0.076 767.0 177.0 177.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-027b TEP 171.51517 1.23075 12.64 10.7 0.13 0.28 2456812.8451 0.001 6.77145 0.00013 5248 60 60 0.13 0.04 0.04 0.866 0.029 0.023 0.885 0.043 0.043 4.48 0.05 0.05 1.45 0.27 0.27 0.251 0.088 0.088 0.06702 0.00071 0.00071 0.097 0.014 0.014 0.4 0.021 0.021 -1.0 -1.0 -1 1.41 0.31 0.31 902.0 28.0 28.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
