System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
L168-9 TEP 350.03133 -60.06517 11.01 7.08 0.05 0.05 2458340.0478 0.0011 1.4015 0.00018 3800 70 70 0.04 0.17 0.17 0.62 0.03 0.03 0.6 0.022 0.022 4.04 0.49 0.49 -1.0 -1.0 -1.0 0.0 0.21 0.0 0.02091 0.00024 0.00024 0.0145 0.0018 0.0018 0.124 0.008 0.008 23.9 4.5 3.9 7.2 1.8 1.4 965.0 20.0 20.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LHS_1140b TEP 11.24712 -15.27131 14.15 8.82 0.08563 0.59 2457187.8176 0.00012 24.7369148 5.8e-06 3216 39 39 -0.24 0.1 0.1 0.191 0.012 0.011 0.2134 0.0036 0.0034 -1.0 -1.0 -1 -1.0 -1.0 -1.0 0.0 0.06 0.0 0.0957 0.0019 0.0019 0.0201 0.0014 0.0014 0.1459 0.0041 0.0041 23.4 1.9 2.0 6.06 0.63 0.6 379.0 4.0 4.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LHS_1140c TEP 11.24712 -15.27131 14.15 8.82 0.04583 0.25 2458389.29382 0.00082 3.777929 3e-05 3216 39 39 -0.24 0.1 0.1 0.191 0.012 0.011 0.2134 0.0036 0.0034 -1.0 -1.0 -1 -1.0 -1.0 -1.0 0.0 0.252 0.0 0.02734 0.00054 0.00054 0.0055 0.0005 0.0005 0.1043 0.0033 0.0034 12.6 1.4 1.3 4.58 0.61 0.56 709.0 8.0 8.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LHS_1478 TEP 44.32608 76.55306 13.3 8.77 0.0296 0.2 2458786.75425 0.00042 1.9495378 4.1e-06 3381 54 54 -0.13 0.19 0.19 0.236 0.012 0.012 0.246 0.008 0.008 4.87 0.06 0.06 15.7 1.8 1.8 0.0 -1.0 -1.0 0.01848 0.00061 0.00063 0.0073 0.0006 0.0006 0.111 0.004 0.004 -1.0 -1.0 -1 5.02 0.81 0.66 595.0 10.0 9.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LP_714-47 TEP 64.19021 -12.08486 12.49 8.63 0.05 0.6 2458438.38421 0.00025 4.052037 4e-06 3950 51 51 0.41 0.16 0.16 0.59 0.02 0.02 0.584 0.016 0.016 4.64 0.04 0.04 -1.0 -1.0 -1.0 0.04 0.02 0.02 0.0417 0.0005 0.0005 0.097 0.005 0.005 0.428 0.027 0.027 -1.0 -1.0 -1 1.3 0.2 0.2 700.0 19.0 24.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LTT_1445Ab TEP 45.46413 -16.59336 11.22 6.5 0.058 0.2 2458412.70851 0.0004 5.3587657 4.3e-06 3337 150 150 -0.34 0.08 0.08 0.257 0.014 0.014 0.268 0.027 0.027 4.983 0.044 0.045 13.0 2.0 1.7 0.0 0.11 0.0 0.02661 0.00047 0.00049 0.009 0.0008 0.0008 0.1164 0.0059 0.0054 16.5 2.0 1.9 5.35 0.9 0.83 424.0 21.0 21.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LTT_1445Ac TEP 45.46413 -16.59336 11.22 6.5 0.017 0.1 2458412.58159 0.00058 3.1239035 3.5e-06 3337 150 150 -0.34 0.08 0.08 0.257 0.014 0.014 0.268 0.027 0.027 4.983 0.044 0.045 13.0 2.0 1.7 0.0 0.223 0.0 0.03813 0.00068 0.00070 0.0048 0.0006 0.0006 0.1023 0.0049 0.0048 11.4 1.2 1.0 4.2 0.51 0.45 508.0 25.0 25.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LTT_3780b TEP 154.64492 -11.71781 13.07 8.2 0.0341 0.11 2458543.91281 0.0005 0.768377 1.4e-06 3360 51 51 0.19 0.16 0.16 0.379 0.016 0.016 0.382 0.012 0.012 4.81 0.04 0.04 6.8 0.7 0.7 0.064 0.075 0.046 0.01203 0.00054 0.00053 0.0074 0.0008 0.0008 0.12 0.005 0.005 12.6 1.8 1.6 3.95 0.71 0.61 1000.0 98.0 100.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
LTT_3780c TEP 154.64492 -11.71781 13.07 8.2 0.0746 0.32 2458546.8492 0.0017 12.25213 6.8e-05 3360 51 51 0.19 0.16 0.16 0.379 0.016 0.016 0.382 0.012 0.012 4.81 0.04 0.04 6.8 0.7 0.7 0.115 0.07 0.065 0.0762 0.0034 0.0034 0.0198 0.002 0.0019 0.216 0.009 0.009 10.5 1.5 1.3 1.85 0.33 0.28 397.0 39.0 40.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-269 TEP 75.84629 -54.17772 14.37 10.1 0.037 0.5 2458381.84668 0.00033 3.6977104 2.7e-06 3514 70 70 -0.29 0.12 0.12 0.3917 0.0095 0.0095 0.398 0.012 0.012 4.831 0.029 0.029 6.36 0.59 0.57 0.425 0.082 0.086 0.0345 0.0015 0.0015 0.0277 0.0044 0.0044 0.247 0.011 0.011 -1.0 -1.0 -1 1.72 0.36 0.32 531.0 25.0 25.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
